Stations_id von_datum bis_datum Stationshoehe geoBreite geoLaenge Stationsname Bundesland Abgabe
----------- --------- --------- ------------- --------- --------- ----------------------------------------- ---------- ------
00257 20021101 20111231            240     48.7270    8.2457 Baden-Baden-Geroldsau                    Baden-Württemberg                        Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00258 19800112 19911227            124     48.8000    8.1833 Baden-Oos                                Baden-Württemberg                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
00259 20040701 20120108            275     47.8064    7.6387 Müllheim                                 Baden-Württemberg                        Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00282 19490101 20250505            240     49.8743   10.9206 Bamberg                                  Bayern                                   Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00294 20040701 20110630            110     52.3199    9.4300 Barsinghausen-Hohenbostel                Niedersachsen                            Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00298 19900612 20250505              3     54.3405   12.7108 Barth                                    Mecklenburg-Vorpommern                   Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00303 20010402 20250505             55     52.0613   13.4997 Baruth                                   Brandenburg                              Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00305 19911104 19960110             53     53.7333   12.9333 Basepohl                                 Mecklenburg-Vorpommern                   Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00314 20040501 20111231            234     51.1604   14.5042 Kubschütz, Kr. Bautzen                   Sachsen                                  Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00320 20060701 20111231            350     49.9666   11.5198 Heinersreuth-Vollhof                     Bayern                                   Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00326 20040701 20110821            120     51.7204    8.0577 Beckum-Unterberg                         Nordrhein-Westfalen                      Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00330 20040801 20111231            455     49.5617    8.9673 Oberzent-Beerfelden                      Hessen                                   Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00342 20101202 20250505            103     52.3170    8.1694 Belm                                     Niedersachsen                            Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00348 19891215 20110902            127     50.4135    7.5886 Bendorf                                  Rheinland-Pfalz                          Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00361 19490101 19751219            550     47.6344   13.0109 Berchtesgaden (KKst)                     Bayern                                   Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00368 19930301 20250505             69     52.8152    9.9248 Bergen                                   Niedersachsen                            Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00377 20041001 20111231            210     49.1070    7.9967 Bergzabern, Bad                          Rheinland-Pfalz                          Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00390 20040701 20120108            610     50.9837    8.3683 Berleburg, Bad-Stünzel                   Nordrhein-Westfalen                      Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
00399 19900611 19920229             36     52.5198   13.4057 Berlin-Alexanderplatz                    Berlin                                   Frei                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
